ID,Title,Year,Certificate,Time,Genre,IMDB rating,Metascore,Number of vote,Movie link
tt9586294,Better Days,-2019,No-certificate,135 min,"Crime, Drama, Romance",7.6,83,8471,/title/tt9586294/?ref_=adv_li_tt
tt2948790,Return to Sender,(I) (2015),Not Rated,92 min,"Drama, Thriller",5.1,23,13136,/title/tt2948790/?ref_=adv_li_tt
tt2092452,Pirates of the Caribbean: Tales of the Code: Wedlocked,-2011,No-certificate,10 min,"Short, Action, Adventure",6.9,-1,2322,/title/tt2092452/?ref_=adv_li_tt
tt0052738,The Diary of Anne Frank,-1959,Approved,180 min,"Biography, Drama, Family",7.4,59,12615,/title/tt0052738/?ref_=adv_li_tt
tt0784896,Mickey Mouse Clubhouse,(2006–2016),TV-Y,30 min,"Animation, Adventure, Comedy",5.8,-1,3448,/title/tt0784896/?ref_=adv_li_tt
tt7601480,Major Grom: Plague Doctor,-2021,TV-14,136 min,"Action, Adventure",6.3,-1,11368,/title/tt7601480/?ref_=adv_li_tt
tt8745960,Daniel Isn't Real,-2019,Not Rated,100 min,"Crime, Drama, Fantasy",6.1,61,8122,/title/tt8745960/?ref_=adv_li_tt
tt2716382,Sea Fever,-2019,No-certificate,95 min,"Drama, Horror, Mystery",5.8,60,10417,/title/tt2716382/?ref_=adv_li_tt
tt8680006,Everything's Gonna Be Okay,(2020–2021),TV-14,30 min,"Comedy, Drama",7.4,-1,2487,/title/tt8680006/?ref_=adv_li_tt
tt0065832,Hercules in New York,-1970,G,92 min,"Adventure, Comedy, Fantasy",3.3,23,18151,/title/tt0065832/?ref_=adv_li_tt
tt0050763,Night Passage,-1957,Approved,90 min,"Action, Adventure, Drama",6.7,-1,3973,/title/tt0050763/?ref_=adv_li_tt
tt5721172,The Worst Witch,(2017– ),TV-Y7,30 min,"Family, Fantasy",7.3,-1,2297,/title/tt5721172/?ref_=adv_li_tt
tt0103924,Captain Ron,-1992,PG-13,100 min,"Adventure, Comedy",5.8,39,21289,/title/tt0103924/?ref_=adv_li_tt
tt13172796,Plan B,(II) (2021),TV-MA,107 min,Comedy,6.7,74,3067,/title/tt13172796/?ref_=adv_li_tt
tt5262792,Dirty Dancing,(2017 TV Movie),TV-PG,130 min,"Drama, Musical, Romance",3.1,-1,6152,/title/tt5262792/?ref_=adv_li_tt
tt2762970,Cloud 9,(2014 TV Movie),TV-G,85 min,"Drama, Family, Sport",6.5,-1,4730,/title/tt2762970/?ref_=adv_li_tt
tt3896738,Hounds of Love,-2016,Not Rated,108 min,"Crime, Drama, Horror",6.5,73,11577,/title/tt3896738/?ref_=adv_li_tt
tt0316768,Tiptoes,-2002,R,90 min,"Comedy, Drama, Romance",4.3,-1,5010,/title/tt0316768/?ref_=adv_li_tt
tt0087175,Dreamscape,-1984,PG-13,99 min,"Action, Adventure, Horror",6.3,63,16370,/title/tt0087175/?ref_=adv_li_tt
tt1912996,Barely Legal,(2011 Video),Not Rated,89 min,Comedy,3.2,-1,2835,/title/tt1912996/?ref_=adv_li_tt
tt5714470,Come Away,-2020,PG,94 min,"Adventure, Drama, Fantasy",5.8,40,4630,/title/tt5714470/?ref_=adv_li_tt
tt0328832,The Animatrix,(2003 Video),Unrated,100 min,"Animation, Action, Sci-Fi",7.4,-1,77101,/title/tt0328832/?ref_=adv_li_tt
tt0116329,Fly Away Home,-1996,PG,107 min,"Adventure, Drama, Family",6.8,-1,25029,/title/tt0116329/?ref_=adv_li_tt
tt0091541,The Money Pit,-1986,PG,91 min,Comedy,6.4,49,55852,/title/tt0091541/?ref_=adv_li_tt
tt3781836,Botched,(2014– ),TV-14,42 min,Reality-TV,6.9,-1,1250,/title/tt3781836/?ref_=adv_li_tt
tt4106376,American Renegades,-2017,PG-13,106 min,"Action, Adventure, Crime",5.5,33,9824,/title/tt4106376/?ref_=adv_li_tt
tt8297022,El embarcadero,(2019–2020),TV-MA,50 min,"Drama, Mystery",7.2,-1,3256,/title/tt8297022/?ref_=adv_li_tt
tt6777338,The Villainess,-2017,Not Rated,124 min,"Action, Crime, Drama",6.7,64,13896,/title/tt6777338/?ref_=adv_li_tt
