ID,Title,Year,Certificate,Time,Genre,IMDB rating,Metascore,Number of vote,Movie link
tt9288030,Reacher,(2022– ),TV-MA,49 min,"Action, Crime, Drama",8.4,-1,46244,/title/tt9288030/?ref_=adv_li_tt
tt13668894,The Book of Boba Fett,(2021– ),TV-14,38 min,"Action, Adventure, Sci-Fi",7.6,-1,77461,/title/tt13668894/?ref_=adv_li_tt
tt8772296,Euphoria,(2019– ),TV-MA,55 min,Drama,8.4,-1,118954,/title/tt8772296/?ref_=adv_li_tt
tt13659418,Pam & Tommy,-2022,TV-MA,65 min,"Biography, Drama, Romance",7.5,-1,8519,/title/tt13659418/?ref_=adv_li_tt
tt2560140,Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9,-1,323058,/title/tt2560140/?ref_=adv_li_tt
tt7740496,Nightmare Alley,-2021,R,150 min,"Crime, Drama, Thriller",7.2,70,53316,/title/tt7740496/?ref_=adv_li_tt
tt10293406,The Power of the Dog,-2021,R,126 min,"Drama, Romance, Western",6.9,89,106718,/title/tt10293406/?ref_=adv_li_tt
tt5071412,Ozark,(2017–2022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,-1,252303,/title/tt5071412/?ref_=adv_li_tt
tt13146488,Peacemaker,(2022– ),TV-MA,40 min,"Action, Adventure, Comedy",8.5,-1,39036,/title/tt13146488/?ref_=adv_li_tt
tt13315324,The Woman in the House,-2022,TV-MA,208 min,"Comedy, Crime, Drama",6.4,-1,25963,/title/tt13315324/?ref_=adv_li_tt
tt7657566,Death on the Nile,-2022,PG-13,127 min,"Crime, Drama, Mystery",6.7,52,10623,/title/tt7657566/?ref_=adv_li_tt
tt6856242,The King's Man,-2021,R,131 min,"Action, Adventure, Thriller",6.5,44,46723,/title/tt6856242/?ref_=adv_li_tt
tt13991232,1883,(2021– ),TV-MA,60 min,"Drama, Western",9,-1,28766,/title/tt13991232/?ref_=adv_li_tt
tt2953050,Encanto,-2021,PG,102 min,"Animation, Comedy, Family",7.3,76,141576,/title/tt2953050/?ref_=adv_li_tt
tt9077540,Sweet Magnolias,(2020– ),TV-14,runtime-unknow,"Drama, Romance",7.5,-1,14953,/title/tt9077540/?ref_=adv_li_tt
tt11466222,Jackass Forever,-2022,R,96 min,"Documentary, Action, Comedy",7.6,74,7883,/title/tt11466222/?ref_=adv_li_tt
tt10872600,Spider-Man: No Way Home,-2021,PG-13,148 min,"Action, Adventure, Fantasy",8.7,71,461069,/title/tt10872600/?ref_=adv_li_tt
tt14992922,The Tinder Swindler,-2022,TV-MA,114 min,"Documentary, Crime",7.3,-1,24594,/title/tt14992922/?ref_=adv_li_tt
tt1877830,The Batman,-2022,PG-13,175 min,"Action, Crime, Drama",-1,-1,-1,/title/tt1877830/?ref_=adv_li_tt
tt14169960,All of Us Are Dead,(2022– ),TV-MA,60 min,"Action, Drama, Fantasy",7.6,-1,25497,/title/tt14169960/?ref_=adv_li_tt
tt10223460,Marry Me,-2022,PG-13,112 min,"Comedy, Music, Romance",6.2,50,6723,/title/tt10223460/?ref_=adv_li_tt
tt5834426,Moonfall,-2022,PG-13,130 min,"Action, Adventure, Sci-Fi",5.3,41,10096,/title/tt5834426/?ref_=adv_li_tt
tt8740976,Inventing Anna,-2022,TV-MA,67 min,Drama,6.8,-1,6807,/title/tt8740976/?ref_=adv_li_tt
tt15264192,Murderville,(2022– ),TV-MA,33 min,"Comedy, Crime, Mystery",7,-1,5886,/title/tt15264192/?ref_=adv_li_tt
tt4236770,Yellowstone,(2018– ),TV-MA,60 min,"Drama, Western",8.8,-1,97886,/title/tt4236770/?ref_=adv_li_tt
tt8041270,Jurassic World Dominion,-2022,PG-13,runtime-unknow,"Action, Adventure, Sci-Fi",-1,-1,-1,/title/tt8041270/?ref_=adv_li_tt
tt1464335,Uncharted,-2022,PG-13,116 min,"Action, Adventure",6.9,42,7911,/title/tt1464335/?ref_=adv_li_tt
tt9335498,Demon Slayer: Kimetsu no Yaiba,(2019– ),TV-MA,24 min,"Animation, Action, Adventure",8.7,-1,78531,/title/tt9335498/?ref_=adv_li_tt
tt11214590,House of Gucci,-2021,R,158 min,"Crime, Drama",6.7,59,71017,/title/tt11214590/?ref_=adv_li_tt
tt4406178,The Gilded Age,(2022– ),TV-MA,81 min,Drama,8.1,-1,6878,/title/tt4406178/?ref_=adv_li_tt
tt11286314,Don't Look Up,-2021,R,138 min,"Comedy, Drama, Sci-Fi",7.2,49,428910,/title/tt11286314/?ref_=adv_li_tt
tt11271038,Licorice Pizza,-2021,R,133 min,"Comedy, Drama, Romance",7.9,90,27494,/title/tt11271038/?ref_=adv_li_tt
tt4513678,Ghostbusters: Afterlife,-2021,PG-13,124 min,"Adventure, Comedy, Fantasy",7.2,45,115790,/title/tt4513678/?ref_=adv_li_tt
tt11311302,Vikings: Valhalla,(2022– ),TV-MA,runtime-unknow,"Action, Adventure, Drama",-1,-1,-1,/title/tt11311302/?ref_=adv_li_tt
tt8111088,The Mandalorian,(2019– ),TV-14,40 min,"Action, Adventure, Fantasy",8.8,-1,405118,/title/tt8111088/?ref_=adv_li_tt
tt0944947,Game of Thrones,(2011–2019),TV-MA,57 min,"Action, Adventure, Drama",9.2,-1,1952319,/title/tt0944947/?ref_=adv_li_tt
tt12789558,Belfast,-2021,PG-13,98 min,"Biography, Drama, History",7.4,75,27497,/title/tt12789558/?ref_=adv_li_tt
tt7631058,The Lord of the Rings: The Rings of Power,(2022– ),No-certificate,runtime-unknow,"Action, Adventure, Drama",-1,-1,-1,/title/tt7631058/?ref_=adv_li_tt
tt1160419,Dune,-2021,PG-13,155 min,"Action, Adventure, Drama",8.1,74,485531,/title/tt1160419/?ref_=adv_li_tt
tt9170108,Raised by Wolves,(2020– ),TV-MA,runtime-unknow,"Drama, Fantasy, Sci-Fi",7.5,-1,65013,/title/tt9170108/?ref_=adv_li_tt
tt1520211,The Walking Dead,(2010–2022),TV-14,44 min,"Drama, Horror, Thriller",8.1,-1,929728,/title/tt1520211/?ref_=adv_li_tt
tt8634332,The Righteous Gemstones,(2019– ),TV-MA,36 min,"Comedy, Drama",8.1,-1,23905,/title/tt8634332/?ref_=adv_li_tt
tt10366460,CODA,-2021,PG-13,111 min,"Comedy, Drama, Music",8.1,75,47474,/title/tt10366460/?ref_=adv_li_tt
tt9032400,Eternals,-2021,PG-13,156 min,"Action, Adventure, Fantasy",6.4,52,253186,/title/tt9032400/?ref_=adv_li_tt
tt11247158,The Legend of Vox Machina,(2022– ),TV-MA,30 min,"Animation, Action, Adventure",8.7,-1,8600,/title/tt11247158/?ref_=adv_li_tt
tt0386676,The Office,(2005–2013),TV-14,22 min,Comedy,8.9,-1,517215,/title/tt0386676/?ref_=adv_li_tt
tt11041332,Yellowjackets,(2021– ),TV-MA,60 min,"Drama, Horror, Mystery",8,-1,28491,/title/tt11041332/?ref_=adv_li_tt
tt7660850,Succession,(2018– ),TV-MA,60 min,Drama,8.8,-1,115941,/title/tt7660850/?ref_=adv_li_tt
tt10298810,Lightyear,-2022,No-certificate,runtime-unknow,"Animation, Action, Adventure",-1,-1,-1,/title/tt10298810/?ref_=adv_li_tt
tt6048596,The Sinner,(2017–2021),TV-MA,45 min,"Crime, Drama, Mystery",7.9,-1,112537,/title/tt6048596/?ref_=adv_li_tt
tt2442560,Peaky Blinders,(2013–2022),TV-MA,60 min,"Crime, Drama",8.8,-1,454404,/title/tt2442560/?ref_=adv_li_tt
tt14128670,Kimi,-2022,R,89 min,"Crime, Drama, Thriller",6.3,77,5635,/title/tt14128670/?ref_=adv_li_tt
tt5180504,The Witcher,(2019– ),TV-MA,60 min,"Action, Adventure, Drama",8.2,-1,451845,/title/tt5180504/?ref_=adv_li_tt
tt14463484,Through My Window,-2022,TV-MA,116 min,"Comedy, Drama, Romance",5.5,-1,4241,/title/tt14463484/?ref_=adv_li_tt
tt14592064,Home Team,-2022,PG,95 min,"Comedy, Sport",6,23,11206,/title/tt14592064/?ref_=adv_li_tt
tt13365348,Archive 81,(2022– ),TV-MA,60 min,"Drama, Horror, Mystery",7.4,-1,32644,/title/tt13365348/?ref_=adv_li_tt
tt11245972,Scream,(I) (2022),R,114 min,"Horror, Mystery, Thriller",7,60,40782,/title/tt11245972/?ref_=adv_li_tt
tt14039582,Drive My Car,-2021,Unrated,179 min,Drama,7.8,91,11720,/title/tt14039582/?ref_=adv_li_tt
tt0903747,Breaking Bad,(2008–2013),TV-MA,49 min,"Crime, Drama, Thriller",9.4,-1,1668338,/title/tt0903747/?ref_=adv_li_tt
tt6467266,Sing 2,-2021,PG,110 min,"Animation, Adventure, Comedy",7.5,49,31987,/title/tt6467266/?ref_=adv_li_tt
tt12536294,Spencer,-2021,R,117 min,"Biography, Drama",6.8,76,39393,/title/tt12536294/?ref_=adv_li_tt
tt12026710,Suspicion,(2022– ),TV-MA,runtime-unknow,"Crime, Drama, Thriller",6.7,-1,1121,/title/tt12026710/?ref_=adv_li_tt
tt11859542,In from the Cold,(2022– ),TV-MA,42 min,"Action, Crime, Drama",6.2,-1,4583,/title/tt11859542/?ref_=adv_li_tt
tt10733228,Gehraiyaan,-2022,No-certificate,148 min,"Drama, Romance",6.5,-1,30217,/title/tt10733228/?ref_=adv_li_tt
tt3032476,Better Call Saul,(2015–2022),TV-MA,46 min,"Crime, Drama",8.8,-1,379205,/title/tt3032476/?ref_=adv_li_tt
tt0413573,Grey's Anatomy,(2005– ),TV-14,41 min,"Drama, Romance",7.5,-1,287497,/title/tt0413573/?ref_=adv_li_tt
tt4244994,The Last Duel,-2021,R,152 min,"Action, Drama, History",7.4,67,117033,/title/tt4244994/?ref_=adv_li_tt
tt7826108,Raising Dion,(2019– ),TV-G,50 min,"Drama, Sci-Fi",7.2,-1,12498,/title/tt7826108/?ref_=adv_li_tt
tt8398600,After Life,(2019–2022),TV-MA,30 min,"Comedy, Drama",8.5,-1,120218,/title/tt8398600/?ref_=adv_li_tt
tt2306299,Vikings,(2013–2020),TV-MA,44 min,"Action, Adventure, Drama",8.5,-1,493312,/title/tt2306299/?ref_=adv_li_tt
tt10370710,The Worst Person in the World,-2021,R,128 min,"Comedy, Drama, Romance",7.9,90,17140,/title/tt10370710/?ref_=adv_li_tt
tt10838180,The Matrix Resurrections,-2021,R,148 min,"Action, Sci-Fi",5.7,63,194347,/title/tt10838180/?ref_=adv_li_tt
tt13819960,And Just Like That...,(2021– ),TV-MA,runtime-unknow,"Comedy, Drama, Romance",5.5,-1,22638,/title/tt13819960/?ref_=adv_li_tt
tt5555260,This Is Us,(2016–2022),TV-14,45 min,"Comedy, Drama, Romance",8.6,-1,126603,/title/tt5555260/?ref_=adv_li_tt
tt4270492,Billions,(2016– ),TV-MA,60 min,Drama,8.4,-1,87437,/title/tt4270492/?ref_=adv_li_tt
tt0472954,It's Always Sunny in Philadelphia,(2004– ),TV-MA,22 min,Comedy,8.8,-1,211982,/title/tt0472954/?ref_=adv_li_tt
tt8721424,"tick, tick...BOOM!",-2021,PG-13,115 min,"Biography, Drama, Musical",7.6,74,73330,/title/tt8721424/?ref_=adv_li_tt
tt9100054,The Lost Daughter,-2021,R,121 min,Drama,6.7,86,40516,/title/tt9100054/?ref_=adv_li_tt
tt8466564,Obi-Wan Kenobi,(2022– ),No-certificate,runtime-unknow,"Action, Adventure, Sci-Fi",-1,-1,-1,/title/tt8466564/?ref_=adv_li_tt
tt12614214,The Afterparty,(2022– ),TV-MA,35 min,"Comedy, Crime, Mystery",7.2,-1,2729,/title/tt12614214/?ref_=adv_li_tt
tt0460681,Supernatural,(2005–2020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,-1,422512,/title/tt0460681/?ref_=adv_li_tt
tt3581652,West Side Story,-2021,PG-13,156 min,"Crime, Drama, Musical",7.8,85,29639,/title/tt3581652/?ref_=adv_li_tt
tt14500082,How I Met Your Father,(2022– ),TV-14,24 min,"Comedy, Drama",5.1,-1,6903,/title/tt14500082/?ref_=adv_li_tt
tt9620288,King Richard,-2021,PG-13,144 min,"Biography, Drama, Sport",7.6,76,48874,/title/tt9620288/?ref_=adv_li_tt
tt0098904,Seinfeld,(1989–1998),TV-PG,22 min,Comedy,8.8,-1,294528,/title/tt0098904/?ref_=adv_li_tt
tt0364845,NCIS,(2003– ),TV-14,60 min,"Action, Crime, Drama",7.7,-1,137499,/title/tt0364845/?ref_=adv_li_tt
tt7221388,Cobra Kai,(2018– ),TV-14,30 min,"Action, Comedy, Drama",8.6,-1,158795,/title/tt7221388/?ref_=adv_li_tt
tt10986410,Ted Lasso,(2020– ),TV-MA,30 min,"Comedy, Drama, Sport",8.8,-1,165296,/title/tt10986410/?ref_=adv_li_tt
tt0452046,Criminal Minds,(2005–2020),TV-14,42 min,"Crime, Drama, Mystery",8.1,-1,185063,/title/tt0452046/?ref_=adv_li_tt
tt11761194,Power Book IV: Force,(2022– ),TV-MA,57 min,"Crime, Drama",8.4,-1,1001,/title/tt11761194/?ref_=adv_li_tt
tt6156584,Snowpiercer,(2020– ),TV-MA,60 min,"Action, Drama, Sci-Fi",6.9,-1,46902,/title/tt6156584/?ref_=adv_li_tt
tt11847410,The Fallout,-2021,R,96 min,Drama,7.1,84,7896,/title/tt11847410/?ref_=adv_li_tt
tt2467372,Brooklyn Nine-Nine,(2013–2021),TV-14,22 min,"Comedy, Crime",8.4,-1,284134,/title/tt2467372/?ref_=adv_li_tt
tt6462958,I Want You Back,-2022,R,116 min,"Comedy, Romance",6.7,61,3622,/title/tt6462958/?ref_=adv_li_tt
tt14412362,Chloe,(2022– ),No-certificate,58 min,"Drama, Mystery",6.7,-1,588,/title/tt14412362/?ref_=adv_li_tt
tt0108778,Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.8,-1,935286,/title/tt0108778/?ref_=adv_li_tt
tt5171438,Star Trek: Discovery,(2017– ),TV-14,60 min,"Action, Adventure, Drama",7.1,-1,112597,/title/tt5171438/?ref_=adv_li_tt
tt11126994,Arcane,(2021– ),TV-14,41 min,"Animation, Action, Adventure",9.1,-1,155628,/title/tt11126994/?ref_=adv_li_tt
tt2463208,The Adam Project,-2022,No-certificate,106 min,"Action, Adventure, Comedy",-1,-1,-1,/title/tt2463208/?ref_=adv_li_tt
tt2861424,Rick and Morty,(2013– ),TV-MA,23 min,"Animation, Adventure, Comedy",9.2,-1,460608,/title/tt2861424/?ref_=adv_li_tt
tt7475578,Munich: The Edge of War,-2021,PG-13,130 min,"Biography, Drama, History",6.9,53,19197,/title/tt7475578/?ref_=adv_li_tt
tt0898266,The Big Bang Theory,(2007–2019),TV-PG,22 min,"Comedy, Romance",8.1,-1,772774,/title/tt0898266/?ref_=adv_li_tt
tt2382320,No Time to Die,-2021,PG-13,163 min,"Action, Adventure, Thriller",7.3,68,312069,/title/tt2382320/?ref_=adv_li_tt
tt9419884,Doctor Strange in the Multiverse of Madness,-2022,No-certificate,runtime-unknow,"Action, Adventure, Fantasy",-1,-1,-1,/title/tt9419884/?ref_=adv_li_tt
tt10095582,The Tragedy of Macbeth,-2021,R,105 min,"Drama, History, Thriller",7.3,87,21223,/title/tt10095582/?ref_=adv_li_tt
tt0141842,The Sopranos,(1999–2007),TV-MA,55 min,"Crime, Drama",9.2,-1,362035,/title/tt0141842/?ref_=adv_li_tt
tt3230854,The Expanse,(2015– ),TV-14,60 min,"Drama, Mystery, Sci-Fi",8.5,-1,141889,/title/tt3230854/?ref_=adv_li_tt
tt13453006,Red Rocket,-2021,R,130 min,"Comedy, Drama",7.3,75,9702,/title/tt13453006/?ref_=adv_li_tt
tt8690918,Resident Alien,(2021– ),TV-14,44 min,"Comedy, Drama, Mystery",8.2,-1,31128,/title/tt8690918/?ref_=adv_li_tt
tt12540080,Dark Desire,(2020– ),TV-MA,30 min,"Drama, Mystery, Thriller",6.5,-1,6188,/title/tt12540080/?ref_=adv_li_tt
tt1219024,Castle,(2009–2016),TV-14,43 min,"Comedy, Crime, Drama",8.1,-1,155823,/title/tt1219024/?ref_=adv_li_tt
